Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_27,27,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 9,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_28,28,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 14,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,Duplicate,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_29,29,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 14,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_30,30,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 14,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_31,31,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 19,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_32,32,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 19,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_33,33,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 19,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_34,34,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 20,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_35,35,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 20,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_36,36,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 20,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_37,37,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 21,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_38,38,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 21,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_39,39,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 21,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_40,40,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 23,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_41,41,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 23,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_42,42,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 23,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_43,43,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 25,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_44,44,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 25,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
