Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Date Frozen,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_27,27,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 9,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_28,28,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 14,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,Duplicate,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_29,29,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 14,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_30,30,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 14,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_31,31,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 19,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_32,32,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 19,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_33,33,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 19,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_34,34,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 20,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_35,35,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 20,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_36,36,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 20,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
